Name,State,FIPS
Alameda,CA,06001
Alpine,CA,06003
Amador,CA,06005
Butte,CA,06007
Calaveras,CA,06009
Colusa,CA,06011
Contra Costa,CA,06013
Del Norte,CA,06015
El Dorado,CA,06017
Fresno,CA,06019
Glenn,CA,06021
Humboldt,CA,06023
Imperial,CA,06025
Inyo,CA,06027
Kern,CA,06029
Kings,CA,06031
Lake,CA,06033
Lassen,CA,06035
Los Angeles,CA,06037
Madera,CA,06039
Marin,CA,06041
Mariposa,CA,06043
Mendocino,CA,06045
Merced,CA,06047
Modoc,CA,06049
Mono,CA,06051
Monterey,CA,06053
Napa,CA,06055
Nevada,CA,06057
Orange,CA,06059
Placer,CA,06061
Plumas,CA,06063
Riverside,CA,06065
Sacramento,CA,06067
San Benito,CA,06069
San Bernardino,CA,06071
San Diego,CA,06073
San Francisco,CA,06075
San Joaquin,CA,06077
San Luis Obispo,CA,06079
San Mateo,CA,06081
Santa Barbara,CA,06083
Santa Clara,CA,06085
Santa Cruz,CA,06087
Shasta,CA,06089
Sierra,CA,06091
Siskiyou,CA,06093
Solano,CA,06095
Sonoma,CA,06097
Stanislaus,CA,06099
Sutter,CA,06101
Tehama,CA,06103
Trinity,CA,06105
Tulare,CA,06107
Tuolumne,CA,06109
Ventura,CA,06111
Yolo,CA,06113
Yuba,CA,06115
