year,election,county,raw_votes_D,raw_votes_R,d_candidate,r_candidate
2016,president,Alameda,"514,842","95,922",Hillary Clinton,Donald J. Trump
2016,president,Alpine,334,217,Hillary Clinton,Donald J. Trump
2016,president,Amador,"6,004","10,485",Hillary Clinton,Donald J. Trump
2016,president,Butte,"41,567","45,144",Hillary Clinton,Donald J. Trump
2016,president,Calaveras,"7,944","13,511",Hillary Clinton,Donald J. Trump
2016,president,Colusa,"2,661","3,551",Hillary Clinton,Donald J. Trump
2016,president,Contra Costa,"319,287","115,956",Hillary Clinton,Donald J. Trump
2016,president,Del Norte,"3,485","5,134",Hillary Clinton,Donald J. Trump
2016,president,El Dorado,"36,404","49,247",Hillary Clinton,Donald J. Trump
2016,president,Fresno,"141,341","124,049",Hillary Clinton,Donald J. Trump
2016,president,Glenn,"3,065","5,788",Hillary Clinton,Donald J. Trump
2016,president,Humboldt,"33,200","18,373",Hillary Clinton,Donald J. Trump
2016,president,Imperial,"32,667","12,704",Hillary Clinton,Donald J. Trump
2016,president,Inyo,"3,155","4,248",Hillary Clinton,Donald J. Trump
2016,president,Kern,"98,689","129,584",Hillary Clinton,Donald J. Trump
2016,president,Kings,"13,617","18,093",Hillary Clinton,Donald J. Trump
2016,president,Lake,"11,496","10,599",Hillary Clinton,Donald J. Trump
2016,president,Lassen,"2,224","7,574",Hillary Clinton,Donald J. Trump
2016,president,Los Angeles,"2,464,364","769,743",Hillary Clinton,Donald J. Trump
2016,president,Madera,"17,029","23,357",Hillary Clinton,Donald J. Trump
2016,president,Marin,"108,707","21,771",Hillary Clinton,Donald J. Trump
2016,president,Mariposa,"3,122","5,185",Hillary Clinton,Donald J. Trump
2016,president,Mendocino,"22,079","10,888",Hillary Clinton,Donald J. Trump
2016,president,Merced,"37,317","28,725",Hillary Clinton,Donald J. Trump
2016,president,Modoc,877,"2,696",Hillary Clinton,Donald J. Trump
2016,president,Mono,"2,773","2,111",Hillary Clinton,Donald J. Trump
2016,president,Monterey,"89,088","34,895",Hillary Clinton,Donald J. Trump
2016,president,Napa,"39,199","17,411",Hillary Clinton,Donald J. Trump
2016,president,Nevada,"26,053","23,365",Hillary Clinton,Donald J. Trump
2016,president,Orange,"609,961","507,148",Hillary Clinton,Donald J. Trump
2016,president,Placer,"73,509","95,138",Hillary Clinton,Donald J. Trump
2016,president,Plumas,"3,459","5,420",Hillary Clinton,Donald J. Trump
2016,president,Riverside,"373,695","333,243",Hillary Clinton,Donald J. Trump
2016,president,Sacramento,"326,023","189,789",Hillary Clinton,Donald J. Trump
2016,president,San Benito,"12,521","7,841",Hillary Clinton,Donald J. Trump
2016,president,San Bernardino,"340,833","271,240",Hillary Clinton,Donald J. Trump
2016,president,San Diego,"735,476","477,766",Hillary Clinton,Donald J. Trump
2016,president,San Francisco,"345,084","37,688",Hillary Clinton,Donald J. Trump
2016,president,San Joaquin,"121,124","88,936",Hillary Clinton,Donald J. Trump
2016,president,San Luis Obispo,"67,107","56,164",Hillary Clinton,Donald J. Trump
2016,president,San Mateo,"237,882","57,929",Hillary Clinton,Donald J. Trump
2016,president,Santa Barbara,"107,142","56,365",Hillary Clinton,Donald J. Trump
2016,president,Santa Clara,"511,684","144,826",Hillary Clinton,Donald J. Trump
2016,president,Santa Cruz,"95,249","22,438",Hillary Clinton,Donald J. Trump
2016,president,Shasta,"22,301","51,778",Hillary Clinton,Donald J. Trump
2016,president,Sierra,601,"1,048",Hillary Clinton,Donald J. Trump
2016,president,Siskiyou,"7,234","11,341",Hillary Clinton,Donald J. Trump
2016,president,Solano,"102,360","51,920",Hillary Clinton,Donald J. Trump
2016,president,Sonoma,"160,435","51,408",Hillary Clinton,Donald J. Trump
2016,president,Stanislaus,"81,647","78,494",Hillary Clinton,Donald J. Trump
2016,president,Sutter,"13,076","18,176",Hillary Clinton,Donald J. Trump
2016,president,Tehama,"6,809","15,494",Hillary Clinton,Donald J. Trump
2016,president,Trinity,"2,214","2,812",Hillary Clinton,Donald J. Trump
2016,president,Tulare,"47,585","58,299",Hillary Clinton,Donald J. Trump
2016,president,Tuolumne,"9,123","14,551",Hillary Clinton,Donald J. Trump
2016,president,Ventura,"194,402","132,323",Hillary Clinton,Donald J. Trump
