Name,State,FIPS
Alcona,MI,26001
Alger,MI,26003
Allegan,MI,26005
Alpena,MI,26007
Antrim,MI,26009
Arenac,MI,26011
Baraga,MI,26013
Barry,MI,26015
Bay,MI,26017
Benzie,MI,26019
Berrien,MI,26021
Branch,MI,26023
Calhoun,MI,26025
Cass,MI,26027
Charlevoix,MI,26029
Cheboygan,MI,26031
Chippewa,MI,26033
Clare,MI,26035
Clinton,MI,26037
Crawford,MI,26039
Delta,MI,26041
Dickinson,MI,26043
Eaton,MI,26045
Emmet,MI,26047
Genesee,MI,26049
Gladwin,MI,26051
Gogebic,MI,26053
Grand,MI,26055
Gratiot,MI,26057
Hillsdale,MI,26059
Houghton,MI,26061
Huron,MI,26063
Ingham,MI,26065
Ionia,MI,26067
Iosco,MI,26069
Iron,MI,26071
Isabella,MI,26073
Jackson,MI,26075
Kalamazoo,MI,26077
Kalkaska,MI,26079
Kent,MI,26081
Keweenaw,MI,26083
Lake,MI,26085
Lapeer,MI,26087
Leelanau,MI,26089
Lenawee,MI,26091
Livingston,MI,26093
Luce,MI,26095
Mackinac,MI,26097
Macomb,MI,26099
Manistee,MI,26101
Marquette,MI,26103
Mason,MI,26105
Mecosta,MI,26107
Menominee,MI,26109
Midland,MI,26111
Missaukee,MI,26113
Monroe,MI,26115
Montcalm,MI,26117
Montmorency,MI,26119
Muskegon,MI,26121
Newaygo,MI,26123
Oakland,MI,26125
Oceana,MI,26127
Ogemaw,MI,26129
Ontonagon,MI,26131
Osceola,MI,26133
Oscoda,MI,26135
Otsego,MI,26137
Ottawa,MI,26139
Presque,MI,26141
Roscommon,MI,26143
Saginaw,MI,26145
St.,MI,26147
St.,MI,26149
Sanilac,MI,26151
Schoolcraft,MI,26153
Shiawassee,MI,26155
Tuscola,MI,26157
Van,MI,26159
Washtenaw,MI,26161
Wayne,MI,26163
Wexford,MI,26165
