year,election,county,raw_votes_D,raw_votes_R,d_candidate,r_candidate
2016,president,Alcona,1732.0,4201.0,Hillary Clinton,Donald Trump
2016,president,Alger,1663.0,2585.0,Hillary Clinton,Donald Trump
2016,president,Allegan,18050.0,34183.0,Hillary Clinton,Donald Trump
2016,president,Alpena,4877.0,9090.0,Hillary Clinton,Donald Trump
2016,president,Antrim,4448.0,8469.0,Hillary Clinton,Donald Trump
2016,president,Arenac,2384.0,4950.0,Hillary Clinton,Donald Trump
2016,president,Baraga,1156.0,2158.0,Hillary Clinton,Donald Trump
2016,president,Barry,9114.0,19202.0,Hillary Clinton,Donald Trump
2016,president,Bay,21642.0,28328.0,Hillary Clinton,Donald Trump
2016,president,Benzie,4108.0,5539.0,Hillary Clinton,Donald Trump
2016,president,Berrien,29495.0,38647.0,Hillary Clinton,Donald Trump
2016,president,Branch,5061.0,11786.0,Hillary Clinton,Donald Trump
2016,president,Calhoun,24157.0,31494.0,Hillary Clinton,Donald Trump
2016,president,Cass,7270.0,14243.0,Hillary Clinton,Donald Trump
2016,president,Charlevoix,5137.0,8674.0,Hillary Clinton,Donald Trump
2016,president,Cheboygan,4302.0,8683.0,Hillary Clinton,Donald Trump
2016,president,Chippewa,5379.0,9122.0,Hillary Clinton,Donald Trump
2016,president,Clare,4249.0,8505.0,Hillary Clinton,Donald Trump
2016,president,Clinton,16492.0,21636.0,Hillary Clinton,Donald Trump
2016,president,Crawford,2110.0,4354.0,Hillary Clinton,Donald Trump
2016,president,Delta,6436.0,11121.0,Hillary Clinton,Donald Trump
2016,president,Dickinson,3923.0,8580.0,Hillary Clinton,Donald Trump
2016,president,Eaton,24938.0,27609.0,Hillary Clinton,Donald Trump
2016,president,Emmet,6972.0,10616.0,Hillary Clinton,Donald Trump
2016,president,Genesee,102751.0,84175.0,Hillary Clinton,Donald Trump
2016,president,Gladwin,3794.0,8124.0,Hillary Clinton,Donald Trump
2016,president,Gogebic,2925.0,4018.0,Hillary Clinton,Donald Trump
2016,president,Grand Traverse,20965.0,27413.0,Hillary Clinton,Donald Trump
2016,president,Gratiot,5666.0,9880.0,Hillary Clinton,Donald Trump
2016,president,Hillsdale,4799.0,14095.0,Hillary Clinton,Donald Trump
2016,president,Houghton,6018.0,8475.0,Hillary Clinton,Donald Trump
2016,president,Huron,4579.0,10692.0,Hillary Clinton,Donald Trump
2016,president,Ingham,79110.0,43868.0,Hillary Clinton,Donald Trump
2016,president,Ionia,8352.0,16635.0,Hillary Clinton,Donald Trump
2016,president,Iosco,4345.0,8345.0,Hillary Clinton,Donald Trump
2016,president,Iron,2004.0,3675.0,Hillary Clinton,Donald Trump
2016,president,Isabella,11404.0,12338.0,Hillary Clinton,Donald Trump
2016,president,Jackson,25795.0,39793.0,Hillary Clinton,Donald Trump
2016,president,Kalamazoo,67148.0,51034.0,Hillary Clinton,Donald Trump
2016,president,Kalkaska,2280.0,6116.0,Hillary Clinton,Donald Trump
2016,president,Kent,138683.0,148180.0,Hillary Clinton,Donald Trump
2016,president,Keweenaw,527.0,814.0,Hillary Clinton,Donald Trump
2016,president,Lake,1939.0,3159.0,Hillary Clinton,Donald Trump
2016,president,Lapeer,12734.0,30037.0,Hillary Clinton,Donald Trump
2016,president,Leelanau,6774.0,7239.0,Hillary Clinton,Donald Trump
2016,president,Lenawee,16750.0,26430.0,Hillary Clinton,Donald Trump
2016,president,Livingston,34384.0,65680.0,Hillary Clinton,Donald Trump
2016,president,Luce,681.0,1756.0,Hillary Clinton,Donald Trump
2016,president,Mackinac,2085.0,3744.0,Hillary Clinton,Donald Trump
2016,president,Macomb,176317.0,224665.0,Hillary Clinton,Donald Trump
2016,president,Manistee,4979.0,6915.0,Hillary Clinton,Donald Trump
2016,president,Marquette,16042.0,14646.0,Hillary Clinton,Donald Trump
2016,president,Mason,5281.0,8505.0,Hillary Clinton,Donald Trump
2016,president,Mecosta,5827.0,10305.0,Hillary Clinton,Donald Trump
2016,president,Menominee,3539.0,6702.0,Hillary Clinton,Donald Trump
2016,president,Midland,15635.0,23846.0,Hillary Clinton,Donald Trump
2016,president,Missaukee,1565.0,5386.0,Hillary Clinton,Donald Trump
2016,president,Monroe,26863.0,43261.0,Hillary Clinton,Donald Trump
2016,president,Montcalm,7874.0,16907.0,Hillary Clinton,Donald Trump
2016,president,Montmorency,1287.0,3498.0,Hillary Clinton,Donald Trump
2016,president,Muskegon,37304.0,36127.0,Hillary Clinton,Donald Trump
2016,president,Newaygo,6212.0,15173.0,Hillary Clinton,Donald Trump
2016,president,Oakland,343070.0,289203.0,Hillary Clinton,Donald Trump
2016,president,Oceana,3973.0,7228.0,Hillary Clinton,Donald Trump
2016,president,Ogemaw,3030.0,6827.0,Hillary Clinton,Donald Trump
2016,president,Ontonagon,1176.0,2066.0,Hillary Clinton,Donald Trump
2016,president,Osceola,2705.0,7336.0,Hillary Clinton,Donald Trump
2016,president,Oscoda,1044.0,2843.0,Hillary Clinton,Donald Trump
2016,president,Otsego,3556.0,8266.0,Hillary Clinton,Donald Trump
2016,president,Ottawa,44973.0,88467.0,Hillary Clinton,Donald Trump
2016,president,Presque Isle,2400.0,4488.0,Hillary Clinton,Donald Trump
2016,president,Roscommon,4287.0,8141.0,Hillary Clinton,Donald Trump
2016,president,Saginaw,44396.0,45469.0,Hillary Clinton,Donald Trump
2016,president,St Clair,24553.0,49051.0,Hillary Clinton,Donald Trump
2016,president,St Joseph,7526.0,14884.0,Hillary Clinton,Donald Trump
2016,president,Sanilac,4873.0,13446.0,Hillary Clinton,Donald Trump
2016,president,Schoolcraft,1369.0,2556.0,Hillary Clinton,Donald Trump
2016,president,Shiawassee,12546.0,19230.0,Hillary Clinton,Donald Trump
2016,president,Tuscola,7429.0,17102.0,Hillary Clinton,Donald Trump
2016,president,Van Buren,13258.0,17890.0,Hillary Clinton,Donald Trump
2016,president,Washtenaw,128483.0,50631.0,Hillary Clinton,Donald Trump
2016,president,Wayne,519444.0,228993.0,Hillary Clinton,Donald Trump
2016,president,Wexford,4436.0,10000.0,Hillary Clinton,Donald Trump
2018,governor,Alcona,1982.0,3408.0,Gretchen Whitmer,Bill Schuette
2018,governor,Alger,1950.0,2097.0,Gretchen Whitmer,Bill Schuette
2018,governor,Allegan,19497.0,28648.0,Gretchen Whitmer,Bill Schuette
2018,governor,Alpena,5595.0,7031.0,Gretchen Whitmer,Bill Schuette
2018,governor,Antrim,5025.0,7480.0,Gretchen Whitmer,Bill Schuette
2018,governor,Arenac,2631.0,3881.0,Gretchen Whitmer,Bill Schuette
2018,governor,Baraga,1356.0,1789.0,Gretchen Whitmer,Bill Schuette
2018,governor,Barry,10272.0,15573.0,Gretchen Whitmer,Bill Schuette
2018,governor,Bay,23159.0,21847.0,Gretchen Whitmer,Bill Schuette
2018,governor,Benzie,4551.0,4963.0,Gretchen Whitmer,Bill Schuette
2018,governor,Berrien,27861.0,32161.0,Gretchen Whitmer,Bill Schuette
2018,governor,Branch,5324.0,9381.0,Gretchen Whitmer,Bill Schuette
2018,governor,Calhoun,23484.0,24711.0,Gretchen Whitmer,Bill Schuette
2018,governor,Cass,7255.0,11538.0,Gretchen Whitmer,Bill Schuette
