FIPS,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WHITE_MALE,WHITE_FEMALE,BLACK_MALE,BLACK_FEMALE,INDIAN_MALE,INDIAN_FEMALE,ASIAN_MALE,ASIAN_FEMALE,NATIVE_MALE,NATIVE_FEMALE,TWO_OR_MORE_MALE,TWO_OR_MORE_FEMALE,WHITE_COMBINATION_MALE,WHITE_COMBINATION_FEMALE,BLACK_COMBINATION_MALE,BLACK_COMBINATION_FEMALE,INDIAN_COMBINATION_MALE,INDIAN_COMBINATION_FEMALE,ASIAN_COMBINATION_MALE,ASIAN_COMBINATION_FEMALE,NATIVE_COMBINATION_MALE,NATIVE_COMBINATION_FEMALE,HISPANIC_MALE,HISPANIC_FEMALE
26001,2016,20-24,383,196,187,181,177,2,3,3,3,1,0,0,0,9,4,189,181,6,5,8,4,2,1,0,0,6,6
26001,2016,25-29,334,172,162,164,155,2,1,3,2,0,2,0,0,3,2,167,157,2,2,4,3,2,2,0,0,4,5
26001,2016,30-34,343,174,169,169,166,3,0,0,0,1,3,0,0,1,0,170,166,3,0,1,0,1,3,0,0,2,5
26001,2016,35-39,360,193,167,185,162,3,3,0,0,3,0,0,0,2,2,187,163,3,5,2,1,3,0,0,0,3,3
26001,2016,40-44,404,179,225,176,212,0,0,0,3,1,6,0,1,2,3,177,215,2,2,1,3,1,7,0,1,3,10
26001,2016,45-49,568,305,263,301,253,0,2,2,5,0,1,0,0,2,2,303,255,1,3,2,6,0,1,1,0,6,6
26001,2016,50-54,741,366,375,361,355,0,4,4,5,1,1,0,1,0,9,361,364,0,6,4,12,1,2,0,1,5,3
26001,2016,55-59,974,477,497,461,485,4,3,3,4,0,1,1,0,8,4,469,487,5,4,9,8,1,1,1,1,2,6
26001,2016,60-64,1066,538,528,535,524,0,0,1,1,0,3,0,0,2,0,537,524,0,0,3,1,0,3,0,0,2,3
26001,2016,65-69,1104,573,531,566,523,0,0,5,2,0,1,0,0,2,5,568,528,1,1,7,5,0,2,0,0,6,4
26001,2016,70-74,983,486,497,484,491,0,0,2,1,0,3,0,0,0,2,484,493,0,0,2,3,0,3,0,0,2,1
26001,2016,75-79,783,418,365,416,361,0,0,0,1,0,1,0,0,2,2,418,363,1,0,1,3,0,1,0,0,1,3
26001,2016,80-84,449,220,229,218,226,0,1,1,0,0,0,0,0,1,2,219,228,0,2,1,2,1,0,0,0,2,1
26001,2016,85+,380,158,222,154,221,0,0,1,0,0,0,0,0,3,1,157,222,0,0,4,1,0,0,0,0,1,1
26001,2017,20-24,367,192,175,178,165,2,3,4,1,0,0,0,0,8,6,186,171,2,5,10,4,2,1,0,0,5,4
